English;Magyar
Accept;Elfogadom
All;Összes
Are you sure you want to exit? This will interrupt the setup progress.;Biztosan ki akar lépni? Ezzel megszakítja a telepítési folyamatot.
Back;Vissza
Cancel;Mégse
Confirmation;Megerősítés
English;Angol
Exit;Kilépés
Finish;Befejezés
From disk only;Csak a lemezről
From embedded resource only;Csak a beágyazott erőforrásokból
From internet only;Csak internetről
Hungarian;Magyar
Install assistant;Telepítő segéd
Installer mode;Telepítési mód
Next;Következő
Please accept the license agreement to continue the installation.;Kérjük, fogadja el a licencszerződést a telepítés folytatásához.
Please choose a language for the installer;Kérjük válasszon nyelvet a telepítőhöz
Start;Start
Thank you for choosing this product.;Köszönjük, hogy ezt a terméket választotta.
